front,back
"What is the capital of France?","Paris"
"What is 2 + 2?","4"
"Who wrote Romeo and Juliet?","William Shakespeare"
"What is the largest planet in our solar system?","Jupiter"
"What does HTML stand for?","HyperText Markup Language"
"What year did World War II end?","1945"
"What is the chemical symbol for gold?","Au"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"What is the square root of 64?","8"
"What is the smallest country in the world?","Vatican City"
"What programming language is used for web styling?","CSS"
"How many continents are there?","7"
"What is the speed of light?","299,792,458 meters per second"
"Who developed the theory of relativity?","Albert Einstein"
"What is the longest river in the world?","The Nile River"